NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
,,,,,,,,2018-10-26
579,200,0000-9999,,,Available,,N/A,
579,201,0000-9999,,,Available,,N/A,
579,202,0000-9999,,,Available,,N/A,
579,203,0000-9999,,,Available,,N/A,
579,204,0000-9999,,,Available,,N/A,
579,205,0000-9999,,,Available,,N/A,
579,206,0000-9999,,,Available,,N/A,
579,207,0000-9999,,,Available,,N/A,
579,208,0000-9999,,,Available,,N/A,
579,209,0000-9999,,,Available,,N/A,
579,210,0000-9999,,,Available,,N/A,
579,211,0000-9999,,,Not Available,,N/A,
579,212,0000-9999,,,Available,,N/A,
579,213,0000-9999,,,Available,,N/A,
579,214,0000-9999,,,Available,,N/A,
579,215,0000-9999,,,Available,,N/A,
579,216,0000-9999,,,Available,,N/A,
579,217,0000-9999,,,Available,,N/A,
579,218,0000-9999,,,Available,,N/A,
579,219,0000-9999,,,Available,,N/A,
579,220,0000-9999,,,Available,,N/A,
579,221,0000-9999,,,Available,,N/A,
579,222,0000-9999,,,Available,,N/A,
579,223,0000-9999,,,Available,,N/A,
579,224,0000-9999,,,Available,,N/A,
579,225,0000-9999,,,Available,,N/A,
579,226,0000-9999,,,Available,,N/A,
579,227,0000-9999,,,Available,,N/A,
579,228,0000-9999,,,Available,,N/A,
579,229,0000-9999,,,Available,,N/A,
579,230,0000-9999,,,Available,,N/A,
579,231,0000-9999,,,Available,,N/A,
579,232,0000-9999,,,Available,,N/A,
579,233,0000-9999,,,Available,,N/A,
579,234,0000-9999,,,Available,,N/A,
579,235,0000-9999,,,Available,,N/A,
579,236,0000-9999,,,Available,,N/A,
579,237,0000-9999,,,Available,,N/A,
579,238,0000-9999,TELUS Mobility,8303,In Service,Ste-Therese,Dec  9 2010 ,
579,239,0000-9999,,,Available,,N/A,
579,240,0000-9999,TELUS Mobility,8303,In Service,St-Jerome,Feb 22 2011 ,
579,241,0000-9999,,,Available,,N/A,
579,242,0000-9999,,,Available,,N/A,
579,243,0000-9999,,,Available,,N/A,
579,244,0000-9999,,,Available,,N/A,
579,245,0000-9999,,,Available,,N/A,
579,246,0000-9999,,,Available,,N/A,
579,247,0000-9999,,,Available,,N/A,
579,248,0000-9999,,,Available,,N/A,
579,249,0000-9999,,,Available,,N/A,
579,250,0000-9999,,,Available,,N/A,
579,251,0000-9999,,,Available,,N/A,
579,252,0000-9999,,,Available,,N/A,
579,253,0000-9999,,,Available,,N/A,
579,254,0000-9999,,,Available,,N/A,
579,255,0000-9999,Bell Mobility,6574,In Service,Granby,Jun 10 2015 ,
579,256,0000-9999,,,Available,,N/A,
579,257,0000-9999,,,Not Available,,N/A,
579,258,0000-9999,,,Available,,N/A,
579,259,0000-9999,,,Available,,N/A,
579,260,0000-9999,,,Available,,N/A,
579,261,0000-9999,,,Available,,N/A,
579,262,0000-9999,,,Available,,N/A,
579,263,0000-9999,,,Available,,N/A,
579,264,0000-9999,,,Available,,N/A,
579,265,0000-9999,,,Available,,N/A,
579,266,0000-9999,,,Available,,N/A,
579,267,0000-9999,,,Available,,N/A,
579,268,0000-9999,,,Available,,N/A,
579,269,0000-9999,,,Available,,N/A,
579,270,0000-9999,,,Available,,N/A,
579,271,0000-9999,,,Available,,N/A,
579,272,0000-9999,,,Available,,N/A,
579,273,0000-9999,,,Not Available,,N/A,
579,274,0000-9999,,,Available,,N/A,
579,275,0000-9999,,,Available,,N/A,
579,276,0000-9999,,,Not Available,,N/A,
579,277,0000-9999,,,Available,,N/A,
579,278,0000-9999,,,Available,,N/A,
579,279,0000-9999,,,Available,,N/A,
579,280,0000-9999,,,Available,,N/A,
579,281,0000-9999,,,Available,,N/A,
579,282,0000-9999,,,Available,,N/A,
579,283,0000-9999,,,Available,,N/A,
579,284,0000-9999,,,Available,,N/A,
579,285,0000-9999,,,Available,,N/A,
579,286,0000-9999,,,Available,,N/A,
579,287,0000-9999,,,Available,,N/A,
579,288,0000-9999,,,Available,,N/A,
579,289,0000-9999,,,Available,,N/A,
579,290,0000-9999,,,Available,,N/A,
579,291,0000-9999,,,Available,,N/A,
579,292,0000-9999,,,Available,,N/A,
579,293,0000-9999,,,Available,,N/A,
579,294,0000-9999,,,Available,,N/A,
579,295,0000-9999,,,Available,,N/A,
579,296,0000-9999,,,Available,,N/A,
579,297,0000-9999,,,Available,,N/A,
579,298,0000-9999,,,Available,,N/A,
579,299,0000-9999,,,Available,,N/A,
579,300,0000-9999,,,Available,,N/A,
579,301,0000-9999,,,Available,,N/A,
579,302,0000-9999,,,Available,,N/A,
579,303,0000-9999,,,Available,,N/A,
579,304,0000-9999,,,Available,,N/A,
579,305,0000-9999,,,Available,,N/A,
579,306,0000-9999,,,Available,,N/A,
579,307,0000-9999,,,Available,,N/A,
579,308,0000-9999,,,Available,,N/A,
579,309,0000-9999,,,Available,,N/A,
579,310,0000-9999,,,Not Available,,N/A,
579,311,0000-9999,,,Not Available,,N/A,
579,312,0000-9999,,,Available,,N/A,
579,313,0000-9999,,,Available,,N/A,
579,314,0000-9999,,,Available,,N/A,
579,315,0000-9999,,,Available,,N/A,
579,316,0000-9999,,,Available,,N/A,
579,317,0000-9999,,,Available,,N/A,
579,318,0000-9999,,,Available,,N/A,
579,319,0000-9999,,,Available,,N/A,
579,320,0000-9999,,,Available,,N/A,
579,321,0000-9999,,,Available,,N/A,
579,322,0000-9999,,,Available,,N/A,
579,323,0000-9999,,,Available,,N/A,
579,324,0000-9999,,,Available,,N/A,
579,325,0000-9999,,,Available,,N/A,
579,326,0000-9999,,,Available,,N/A,
579,327,0000-9999,,,Available,,N/A,
