NPA,NXX,ESRD,Company,OCN,Status,Remarks
,,,,,,2018-10-26
226,211,0000 - 0099,,,Available,
226,211,0100 - 0199,,,Available,
226,211,0200 - 0299,,,Available,
226,211,0300 - 0399,,,Available,
226,211,0400 - 0499,,,Available,
226,211,0500 - 0599,,,Available,
226,211,0600 - 0699,,,Available,
226,211,0700 - 0799,,,Available,
226,211,0800 - 0899,,,Available,
226,211,0900 - 0999,,,Available,
226,211,1000 - 1099,,,Available,
226,211,1100 - 1199,,,Available,
226,211,1200 - 1299,,,Available,
226,211,1300 - 1399,,,Available,
226,211,1400 - 1499,,,Available,
226,211,1500 - 1599,,,Available,
226,211,1600 - 1699,,,Available,
226,211,1700 - 1799,,,Available,
226,211,1800 - 1899,,,Available,
226,211,1900 - 1999,,,Available,
226,211,2000 - 2099,,,Available,
226,211,2100 - 2199,,,Available,
226,211,2200 - 2299,,,Available,
226,211,2300 - 2399,,,Available,
226,211,2400 - 2499,,,Available,
226,211,2500 - 2599,,,Available,
226,211,2600 - 2699,,,Available,
226,211,2700 - 2799,,,Available,
226,211,2800 - 2899,,,Available,
226,211,2900 - 2999,,,Available,
226,211,3000 - 3099,Bell Mobility,6574,Assigned,
226,211,3100 - 3199,Bell Mobility,6574,Assigned,
226,211,3200 - 3299,Bell Mobility,6574,Assigned,
226,211,3300 - 3399,Bell Mobility,6574,Assigned,
226,211,3400 - 3499,Bell Mobility,6574,Assigned,
226,211,3500 - 3599,Bell Mobility,6574,Assigned,
226,211,3600 - 3699,Bell Mobility,6574,Assigned,
226,211,3700 - 3799,Bell Mobility,6574,Assigned,
226,211,3800 - 3899,Bell Mobility,6574,Assigned,
226,211,3900 - 3999,Bell Mobility,6574,Assigned,
226,211,4000 - 4099,Bell Mobility,6574,Assigned,
226,211,4100 - 4199,Bell Mobility,6574,Assigned,
226,211,4200 - 4299,Bell Mobility,6574,Assigned,
226,211,4300 - 4399,Bell Mobility,6574,Assigned,
226,211,4400 - 4499,Bell Mobility,6574,Assigned,
226,211,4500 - 4599,Bell Mobility,6574,Assigned,
226,211,4600 - 4699,Bell Mobility,6574,Assigned,
226,211,4700 - 4799,Bell Mobility,6574,Assigned,
226,211,4800 - 4899,Bell Mobility,6574,Assigned,
226,211,4900 - 4999,Bell Mobility,6574,Assigned,
226,211,5000 - 5099,,,Available,
226,211,5100 - 5199,,,Available,
226,211,5200 - 5299,,,Available,
226,211,5300 - 5399,,,Available,
226,211,5400 - 5499,,,Available,
226,211,5500 - 5599,,,Available,
226,211,5600 - 5699,,,Available,
226,211,5700 - 5799,,,Available,
226,211,5800 - 5899,,,Available,
226,211,5900 - 5999,,,Available,
226,211,6000 - 6099,TELUS Mobility,8303,Assigned,
226,211,6100 - 6199,TELUS Mobility,8303,Assigned,
226,211,6200 - 6299,TELUS Mobility,8303,Assigned,
226,211,6300 - 6399,TELUS Mobility,8303,Assigned,
226,211,6400 - 6499,TELUS Mobility,8303,Assigned,
226,211,6500 - 6599,TELUS Mobility,8303,Assigned,
226,211,6600 - 6699,TELUS Mobility,8303,Assigned,
226,211,6700 - 6799,TELUS Mobility,8303,Assigned,
226,211,6800 - 6899,TELUS Mobility,8303,Assigned,
226,211,6900 - 6999,TELUS Mobility,8303,Assigned,
226,211,7000 - 7099,TELUS Mobility,8303,Assigned,
226,211,7100 - 7199,TELUS Mobility,8303,Assigned,
226,211,7200 - 7299,TELUS Mobility,8303,Assigned,
226,211,7300 - 7399,TELUS Mobility,8303,Assigned,
226,211,7400 - 7499,TELUS Mobility,8303,Assigned,
226,211,7500 - 7599,TELUS Mobility,8303,Assigned,
226,211,7600 - 7699,TELUS Mobility,8303,Assigned,
226,211,7700 - 7799,TELUS Mobility,8303,Assigned,
226,211,7800 - 7899,TELUS Mobility,8303,Assigned,
226,211,7900 - 7999,TELUS Mobility,8303,Assigned,
226,211,8000 - 8099,TELUS Mobility,8303,Assigned,
226,211,8100 - 8199,TELUS Mobility,8303,Assigned,
226,211,8200 - 8299,TELUS Mobility,8303,Assigned,
226,211,8300 - 8399,TELUS Mobility,8303,Assigned,
226,211,8400 - 8499,TELUS Mobility,8303,Assigned,
226,211,8500 - 8599,TELUS Mobility,8303,Assigned,
226,211,8600 - 8699,TELUS Mobility,8303,Assigned,
